feature,Mean Importance,Std Importance
angle_of_incidence,0.3402799467847751,0.02534645600628911
azimuth,0.20672203149951615,0.01622885556812805
zenith,0.11186993657214739,0.006025917087913002
shortwave_radiation_backwards_sfc,0.10503132429258276,0.007026833848065597
total_cloud_cover_sfc,0.061115602326704474,0.007785358645229806
relative_humidity_2_m_above_gnd,0.044069955228217106,0.007777942335386912
mean_sea_level_pressure_MSL,0.04043987725769793,0.004313306722701893
temperature_2_m_above_gnd,0.014713590674935622,0.004556631447251006
wind_gust_10_m_above_gnd,0.009250957643116417,0.003596336660553282
total_precipitation_sfc,0.007292154451971485,0.0035267246619779527
