Hyperparameters,max_depth,min_samples_split,min_samples_leaf,R2
1,1.0,2,1,0.3965810940470885
2,1.0,2,2,0.3965810940470885
3,1.0,2,3,0.3965810940470885
4,1.0,2,4,0.3965810940470885
5,1.0,2,5,0.3965810940470885
6,1.0,2,6,0.3965810940470885
7,1.0,2,7,0.3965810940470885
8,1.0,2,8,0.3965810940470885
9,1.0,2,9,0.3965810940470885
10,1.0,2,10,0.3965810940470885
11,1.0,2,11,0.3965810940470885
12,1.0,2,12,0.3965810940470885
13,1.0,2,13,0.3965810940470885
14,1.0,2,14,0.3965810940470885
15,1.0,2,15,0.3965810940470885
16,1.0,2,16,0.3965810940470885
17,1.0,2,17,0.3965810940470885
18,1.0,2,18,0.3965810940470885
19,1.0,2,19,0.3965810940470885
20,2.0,2,1,0.5868825248670664
21,2.0,2,2,0.5868825248670664
22,2.0,2,3,0.5868825248670664
23,2.0,2,4,0.5868825248670664
24,2.0,2,5,0.5868825248670664
25,2.0,2,6,0.5868825248670664
26,2.0,2,7,0.5868825248670664
27,2.0,2,8,0.5868825248670664
28,2.0,2,9,0.5868825248670664
29,2.0,2,10,0.5868825248670664
30,2.0,2,11,0.5868825248670664
31,2.0,2,12,0.5868825248670664
32,2.0,2,13,0.5868825248670664
33,2.0,2,14,0.5868825248670664
34,2.0,2,15,0.5868825248670664
35,2.0,2,16,0.5868825248670664
36,2.0,2,17,0.5868825248670664
37,2.0,2,18,0.5868825248670664
38,2.0,2,19,0.5868825248670664
39,3.0,2,1,0.6344517467146413
40,3.0,2,2,0.6344517467146413
41,3.0,2,3,0.6344517467146413
42,3.0,2,4,0.6344517467146413
43,3.0,2,5,0.6344517467146413
44,3.0,2,6,0.6344517467146413
45,3.0,2,7,0.6344517467146413
46,3.0,2,8,0.6344517467146413
47,3.0,2,9,0.6344517467146413
48,3.0,2,10,0.6344517467146413
49,3.0,2,11,0.6344517467146413
50,3.0,2,12,0.6344517467146413
51,3.0,2,13,0.6344517467146413
52,3.0,2,14,0.6344517467146413
53,3.0,2,15,0.6344517467146413
54,3.0,2,16,0.6344517467146413
55,3.0,2,17,0.6344517467146413
56,3.0,2,18,0.6344517467146413
57,3.0,2,19,0.6344517467146413
58,4.0,2,1,0.698671799223368
59,4.0,2,2,0.698671799223368
60,4.0,2,3,0.698671799223368
61,4.0,2,4,0.698671799223368
62,4.0,2,5,0.698671799223368
63,4.0,2,6,0.698671799223368
64,4.0,2,7,0.698671799223368
65,4.0,2,8,0.698671799223368
66,4.0,2,9,0.698671799223368
67,4.0,2,10,0.698671799223368
68,4.0,2,11,0.698671799223368
69,4.0,2,12,0.698671799223368
70,4.0,2,13,0.698671799223368
71,4.0,2,14,0.698671799223368
72,4.0,2,15,0.698671799223368
73,4.0,2,16,0.698671799223368
74,4.0,2,17,0.698671799223368
75,4.0,2,18,0.698671799223368
76,4.0,2,19,0.698671799223368
77,5.0,2,1,0.7257048345693262
78,5.0,2,2,0.7257048345693262
79,5.0,2,3,0.7249777611081198
80,5.0,2,4,0.7253353780640388
81,5.0,2,5,0.7250067171400392
82,5.0,2,6,0.7304057299582773
83,5.0,2,7,0.7304057299582773
84,5.0,2,8,0.7304057299582773
85,5.0,2,9,0.7317311390622172
86,5.0,2,10,0.7317311390622172
87,5.0,2,11,0.7317311390622172
88,5.0,2,12,0.7317311390622172
89,5.0,2,13,0.7317311390622172
90,5.0,2,14,0.7317311390622172
91,5.0,2,15,0.731720411215238
92,5.0,2,16,0.7367936613409771
93,5.0,2,17,0.7367936613409771
94,5.0,2,18,0.7367936613409771
