Combination_Index,C,gamma,epsilon,R2
1,0.01,0.0001,0.001,-0.020729108365333815
2,0.01,0.0001,0.01,-0.020729108365333815
3,0.01,0.0001,0.05,-0.020729108365333815
4,0.01,0.0001,0.1,-0.020729108365333815
5,0.01,0.0001,0.2,-0.020729108365333815
6,0.01,0.0001,0.5,-0.020729091909760244
7,0.01,0.00018329807108324357,0.001,-0.0207099801170767
8,0.01,0.00018329807108324357,0.01,-0.0207099801170767
9,0.01,0.00018329807108324357,0.05,-0.0207099801170767
10,0.01,0.00018329807108324357,0.1,-0.0207099801170767
11,0.01,0.00018329807108324357,0.2,-0.0207099801170767
12,0.01,0.00018329807108324357,0.5,-0.02070995000458531
13,0.01,0.0003359818286283781,0.001,-0.020675325402042866
14,0.01,0.0003359818286283781,0.01,-0.020675325402042866
15,0.01,0.0003359818286283781,0.05,-0.020675325402042644
16,0.01,0.0003359818286283781,0.1,-0.020675325402042866
17,0.01,0.0003359818286283781,0.2,-0.020675325402042866
18,0.01,0.0003359818286283781,0.5,-0.020675270439817428
19,0.01,0.0006158482110660267,0.001,-0.02061302040127222
20,0.01,0.0006158482110660267,0.01,-0.02061302040127222
21,0.01,0.0006158482110660267,0.05,-0.02061302040127222
22,0.01,0.0006158482110660267,0.1,-0.02061302040127222
23,0.01,0.0006158482110660267,0.2,-0.02061302040127222
24,0.01,0.0006158482110660267,0.5,-0.020612920596230877
25,0.01,0.0011288378916846883,0.001,-0.02050265011886032
26,0.01,0.0011288378916846883,0.01,-0.02050265011886032
27,0.01,0.0011288378916846883,0.05,-0.02050265011886032
28,0.01,0.0011288378916846883,0.1,-0.020502650118860766
29,0.01,0.0011288378916846883,0.2,-0.020502650118860766
30,0.01,0.0011288378916846883,0.5,-0.02050247056337473
31,0.01,0.00206913808111479,0.001,-0.02031236368498135
32,0.01,0.00206913808111479,0.01,-0.02031236368498135
33,0.01,0.00206913808111479,0.05,-0.02031236368498135
34,0.01,0.00206913808111479,0.1,-0.02031236368498157
35,0.01,0.00206913808111479,0.2,-0.02031236368498157
