Hyperparameters,n_estimators,MSE,RMSE,MAE,R2
1,1,343246.45881501585,585.8723912380715,345.75660570382917,0.6242363723036234
2,2,250195.29960538927,500.1952614783443,305.9830449033191,0.7261026559840795
3,3,212069.06362755972,460.50956952875555,289.1492904789909,0.7678407493380395
4,4,204311.53183589567,452.00833160008864,279.8133012905362,0.7763331844765375
5,5,199755.38691450816,446.94002608236843,277.7351628353891,0.7813209520120903
6,6,194572.49898279388,441.10372814429246,277.9913143380583,0.7869948365377696
7,7,187509.31590190233,433.0234588355489,271.76529351250565,0.7947271444156779
8,8,185305.68955513922,430.4714735672263,269.31187852879196,0.7971395294786023
9,9,185137.244035334,430.2757767238751,268.854300344722,0.7973239325451619
10,10,186253.17375696893,431.57058954123477,268.7018834568946,0.7961022861459437
11,11,185566.87635669514,430.77473969198235,268.1111965319807,0.7968535993618054
12,12,185069.42533518738,430.19696109478434,268.29000373904006,0.7973981759936761
13,13,184295.61300283932,429.296649186596,267.4351034261668,0.7982452947961924
14,14,180972.85026410664,425.4090387663462,265.7541267152417,0.8018828367099268
15,15,178833.77013407106,422.88742016530955,263.13992573552486,0.8042245608237613
16,16,178325.93928146886,422.28656062142073,262.7379909311498,0.804780500611425
17,17,176988.7881366122,420.7003543338325,261.7127527052068,0.8062443256621024
18,18,175746.97887902512,419.2218730923103,260.674579571371,0.8076037766908144
19,19,175054.9910906449,418.39573502922434,260.54934132559356,0.8083613193689851
20,20,174422.00706785516,417.6386082103224,260.03145735486044,0.8090542686087193
