Combination_Index,n_estimators,learning_rate,MSE,RMSE,MAE,R2
1,1,0.01,345641.00044032646,587.9124088164209,460.68879538087225,0.6216149857614199
2,1,0.05,345641.00044032646,587.9124088164209,460.68879538087225,0.6216149857614199
3,1,0.1,345641.00044032646,587.9124088164209,460.68879538087225,0.6216149857614199
4,1,0.2,345641.00044032646,587.9124088164209,460.68879538087225,0.6216149857614199
5,10,0.01,333572.900571008,577.557703239259,449.5640654492015,0.6348263470729176
6,10,0.05,331343.24039892567,575.6242180441383,451.0327445447351,0.6372672322540325
7,10,0.1,307403.3448700823,554.4396674752649,439.47396198388236,0.663475053950566
8,10,0.2,295423.7633669898,543.52899036481,432.2280717196936,0.6765895111817546
9,20,0.01,314342.91231420153,560.6629221860507,438.28154303674273,0.6558780723343588
10,20,0.05,301299.62616763526,548.9076663407383,435.6597547744454,0.6701570033870954
11,20,0.1,298294.6145331213,546.1635419296324,438.4266806043591,0.6734466923090235
12,20,0.2,281480.2373524385,530.5471113411498,430.4677369682124,0.6918539655804823
13,30,0.01,316510.2804992987,562.5924639553028,442.78270303953735,0.6535053803200044
14,30,0.05,288388.80476850906,537.0184398775418,425.08967056662385,0.6842909207542961
15,30,0.1,286502.9223389853,535.2596774827946,431.2399012494961,0.6863554606932459
16,30,0.2,280517.1906607975,529.6387359897287,430.3567146329271,0.6929082457025302
17,40,0.01,312526.4544582725,559.0406554610072,440.8055938742849,0.6578666108202557
18,40,0.05,288554.27796864515,537.1724843741023,430.63014793086916,0.6841097715876467
19,40,0.1,282647.65637929196,531.6461759284007,429.8137149356459,0.6905759520793768
20,40,0.2,275943.1045207253,525.3028693246642,428.1949470681224,0.6979156541032547
21,50,0.01,309281.98051198875,556.131261944506,438.94506790935714,0.6614184473176541
22,50,0.05,286792.94682805415,535.5305283810197,429.76461564813576,0.6860379609745029
23,50,0.1,280183.27544450987,529.3234129003835,428.71920314602914,0.6932737941001698
24,50,0.2,275527.5563533533,524.9071883231866,429.6108368196029,0.6983705688819632
25,60,0.01,307328.2031934018,554.371899714805,438.4072398863471,0.6635573141117288
26,60,0.05,286923.34238578565,535.6522588263637,431.0651857464944,0.6858952125016481
27,60,0.1,278443.304514548,527.6772730699589,429.60351575171336,0.6951785997345408
28,60,0.2,275696.4679386338,525.0680602918386,431.3198119177826,0.6981856555976017
29,70,0.01,305089.916601519,552.3494515264036,437.26684267111324,0.6660076429293766
30,70,0.05,285400.39298276405,534.22878337166,431.3820125679865,0.6875624372545357
31,70,0.1,276106.2538498479,525.4581371049914,428.5776281851169,0.697737048957614
